Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
252  | АЗ-УСБТ, ПЗ |Журнал контрольных кабелей между ПТК УСБТ и панелями РПУ. 1 канал                                                                 |10UCB.J.CA0.D-1060      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-15> на <21.06.2023>    |Титан-2=>АЭП                   |
253  | АЗ-УСБТ, ПЗ |Журнал контрольных кабелей между ПТК УСБТ и панелями РПУ. 2 канал                                                                 |10UCB.J.CA0.D-1070      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-15> на <21.06.2023>    |Титан-2=>АЭП                   |
254  | КИП         |Журнал контрольных кабелей ТТК. 1 канал СБ                                                                                        |10UCB.J.CA0.D-1240      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-12-03> на <03.12.2023>    |Титан-2=>АЭП                   |
255  | КИП         |Журнал контрольных кабелей ТТК. 2 канал СБ                                                                                        |10UCB.J.CA0.D-1250      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-12-03> на <03.12.2023>    |Титан-2=>АЭП                   |
256  | АСРК        |Компоновка оборудования РК                                                                                                        |10UCB.J.CA0.D-1460      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <20.10.2024>    |Титан-2=>АЭП                   |
257  | АСУ ТП      |МПУ. Журнал контрольных кабелей 1 канала СБ                                                                                       |10UCB.J.C00.D-1280      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <21.06.2023>    |Титан-2=>АЭП                   |
258  | АСУ ТП      |МПУ. Журнал контрольных кабелей 2 канала СБ                                                                                       |10UCB.J.C00.D-1290      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <21.06.2023>    |Титан-2=>АЭП                   |
259  | АСУ ТП      |МПУ. Журнал контрольных кабелей НЭ                                                                                                |10UCB.J.CA0.D-1490      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2024-04-29> на <20.10.2024>    |Титан-2=>АЭП                   |
260  | АСУ ТП      |МПУ. Журнал силовых кабелей 1 канала СБ                                                                                           |10UCB.J.CA0.D-1560      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-08-29> на <29.08.2023>    |Титан-2=>АЭП                   |
261  | АСУ ТП      |МПУ. Журнал силовых кабелей 2 канала СБ                                                                                           |10UCB.J.CA0.D-1080      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-08-29> на <29.08.2023>    |Титан-2=>АЭП                   |
262  | АСУ ТП      |МПУ. Журнал силовых кабелей НЭ                                                                                                    |10UCB.J.CA0.D-1480      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-08-29> на <29.08.2023>    |Титан-2=>АЭП                   |
263  | Связь       |Система оповещения и поиска персонала. Журнал контрольных кабелей                                                                 |13UEJ.J.CYC.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <20.10.2024>    |Титан-2=>АЭП                   |
264  | Связь       |Система эксплуатационных радиотелефонов. Журнал контрольных кабелей                                                               |13UEJ.J.CYY.D-1010      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-09> на <20.10.2024>    |Титан-2=>АЭП                   |
265  | СКУ ПЗ      |Автоматическое пожаротушение SGK                                                                                                  |13UEJ.T.SGK.D-2040      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-30> на <21.06.2023>    |Титан-2=>АЭП                   |
266  | АСРК        |Компоновка оборудования РК                                                                                                        |00UFA.J.C00.D-1070      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-07-26> на <26.07.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-11-14> на <05.02.2025>    |Титан-2                        |
267  | АСРК        |Перечень измерительных контуров РК                                                                                                |00UFA.J.C00.D-1180      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-07-26> на <26.07.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-11-04> на <19.02.2025>    |Титан-2                        |
268  | СКУ ПЗ      |СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей                                                                         |00UFA.J.CYE.D-1050      |-       |Смена кода с <> на <AKU.0179.00UFA.CYE.PS.MB0001>                            |Смена статус заказчика с <> на <(rev.C01)>                                                            |Смена текущая ревизия с <> на <C01>                      |Смена статус текущей ревизии с <> на <T2 to AEP / Т2 в АЭП>                                                                                                                                                                                                         |Смена дата выпуска рд по договору подрядчика с <2022-05-27> на <27.05.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-08-11> на <28.06.2023>    |Титан-2                        |
269  | СКУ ПЗ      |Системы автоматического газового пожаротушения                                                                                    |00UFA.T.SGE.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <21.06.2023>    |Титан-2=>АЭП                   |
270  | АСУ ТП      |Перечень электрооборудования                                                                                                      |03UGF.E.EEE.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <> на <31.12.2022>          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <19.06.2023>    |АЭП                            |
271  | АСУ ТП      |Автоматизация. Журнал контрольных кабелей                                                                                         |03UGF.J.C00.D-1060      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <> на <31.12.2022>          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <28.01.2024>    |АЭП                            |
272  | КИП         |Монтажно-трассировочные чертежи импульсных линий                                                                                  |03UGF.J.C00.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <> на <31.12.2022>          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <21.06.2023>    |АЭП                            |
273  | Связь       |Система общестанционной телефонной связи. Кабельный журнал                                                                        |03UGF.J.CY0.D-1180      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <> на <31.12.2022>          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-29> на <19.06.2023>    |АЭП                            |
274  | КИП         |КИПиА                                                                                                                             |04UGG.J.C00.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |-                                                                          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-25> на <21.06.2023>    |JV=>Титан-2=>СС КТ-2           |
275  | КИП         |КИПиА                                                                                                                             |05UGG.J.C00.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |-                                                                          |-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-25> на <21.06.2023>    |JV=>Титан-2=>СС КТ-2           |
276  | АСУ ТП      |Альбом заполнения гермопроходок нормальной эксплуатации контрольным кабелем                                                       |10UJA.E.JML.D-1000      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-28> на <21.06.2023>    |Титан-2=>АЭП                   |
277  | АСУ ТП      |Альбом заполнения гермопроходок нормальной эксплуатации силовым кабелем                                                           |10UJA.E.JML.D-1050      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-28> на <21.06.2023>    |Титан-2=>АЭП                   |
278  | АСУ ТП      |Альбом распределения контрольных гермопроходок системы безопасности 1 канала                                                      |10UJA.E.JML.D-1040      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-28> на <21.06.2023>    |Титан-2=>АЭП                   |
279  | АСУ ТП      |Альбом распределения контрольных гермопроходок системы безопасности 2 канала                                                      |10UJA.E.JML.D-1030      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-28> на <21.06.2023>    |Титан-2=>АЭП                   |
280  | ОРС         |Сварочная сеть. Журнал силовых кабелей                                                                                            |10UJA.E.B00.D-1510      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-10-29> на <29.10.2023>    |Титан-2=>АЭП                   |
281  | СКУ ЭЧ ЭБ   |(10UBB). Схемы электрических соединений сборок нормальной эксплуатации. Журнал силовых кабелей                                    |10UJA.E.BA0.D-1030      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-10-29> на <29.10.2023>    |Титан-2=>АЭП                   |
282  | СКУ ЭЧ ЭБ   |(10UBB). Схемы электрических соединений щитов 0.4 кВ и щитов постоянного тока СУЗ. Журнал силовых кабелей                         |10UJA.E.BA0.D-1020      |-       |Смена кода с <> на <AKU.0120.10UBB.0.EM.MB0001>                              |Смена статус заказчика с <> на <(rev.C01)>                                                            |Смена текущая ревизия с <> на <C01>                      |Смена статус текущей ревизии с <> на <Sub-Supplier to T2 / Субподрядчик в Т2>                                                                                                                                                                                       |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-10-29> на <29.10.2023>    |Титан-2=>АЭП                   |
283  | СКУ ЭЧ ЭБ   |(11UBP). Схемы электрических соединений инверторной сети 1 канала. Журнал силовых кабелей                                         |10UJA.E.BA0.D-1050      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <29.10.2023>    |Титан-2=>АЭП                   |
284  | СКУ ЭЧ ЭБ   |(12UBP). Схемы электрических соединений инверторной сети 2 канала. Журнал силовых кабелей                                         |10UJA.E.BA0.D-1100      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <29.10.2023>    |Титан-2=>АЭП                   |
285  | ОРС         |Однолинейные схемы сетей освещения. Кабельный журнал                                                                              |10UJA.E.BJ0.D-1280      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <21.06.2023>    |Титан-2=>АЭП                   |
286  | ОРС         |Однолинейные схемы сетей освещения                                                                                                |10UJA.E.BJ0.D-1510      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-03> на <21.06.2023>    |Титан-2=>АЭП                   |
287  | ОРС         |Освещение гермозоны. Дистанционное управление и сигнализация. Журнал контрольных кабелей                                          |10UJA.E.BJ0.D-1500      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-05-17> на <19.06.2023>    |Титан-2=>АЭП                   |
288  | АСУ ТП      |Присоединения к ПТС (РПУ)                                                                                                         |10UCB.J.CA0.D-1410      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-30> на <21.06.2023>    |Титан-2=>АЭП                   |
289  | ИМ          |Присоединения кабелей к НКУ. Электродвигатели                                                                                     |10UCB.J.CA0.D-1660      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-30> на <19.06.2023>    |Титан-2=>АЭП                   |
290  | СКУ ЭЧ ЭБ   |ПТК СКУ ЭЧ ЭБ. Схема структурная комплекса технических средств                                                                    |10UCB.J.CA0.D-1270      |-       |Смена кода с <> на <nan>                                                     |-                                                                                                     |-                                                        |-                                                                                                                                                                                                                                                                   |Смена дата выпуска рд по договору подрядчика с <2022-12-31> на <31.12.2022>|-                                                                           |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2024-01-28> на <28.01.2024>    |Титан-2=>АЭП                   |
