Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
145  | 10UMA.E.U00.D-1010      |
146  | 10UMA.E.BA0.D-1000      |
147  | 10UMX.E.BA1.D-1020      |
148  | 10UQR.E.B00.D-1030      |
149  | 13UQZ.E.BJ0.D-1000      |
150  | 14UQZ.E.BJ0.D-1000      |
151  | 00USY.E.H00.D-1100      |
152  | 00USY.E.H00.D-1110      |
153  | 00USY.E.H00.D-1120      |
154  | 00USY.E.H00.D-1130      |
155  | 00USY.E.H00.D-1010      |
156  | 00USY.E.H00.D-1020      |
157  | 00USY.E.H00.D-1030      |
158  | 00USY.E.H00.D-1040      |
159  | 00USY.E.H00.D-1050      |
160  | 00USY.E.H00.D-1060      |
161  | 00USY.E.H00.D-1070      |
162  | 00USY.E.H00.D-1080      |
163  | 10USC.E.B00.D-1000      |
164  | 03USW.E.H00.D-1020      |
165  | 03USW.J.C00.D-1020      |
166  | 09USZ.E.BJ0.D-1000      |
167  | 09USZ.E.H00.D-1000      |
168  | 00UNA.E.B00.D-1000      |
169  | 00UNA.J.CYE.D-1000      |
170  | 00UNA.J.CYE.D-1050      |
171  | 02UXB.E.C00.D-1000      |
172  | 02UXZ.E.BJ0.D-1010      |
173  | 02UXZ.E.BJ0.D-1000      |
174  | 03UXZ.E.B00.D-1000      |
175  | 03UXZ.E.BA0.D-1000      |
176  | 00UYB.J.CVE.D-1010      |
177  | 00UYB.J.CVE.D-1000      |
178  | 00UYC.J.CVE.D-1110      |
179  | 00UYC.J.CVE.D-1100      |
180  | 00UYC.J.CVE.D-1050      |
181  | 00UYC.J.CVE.D-1090      |
182  | 00UYC.J.CVE.D-1080      |
183  | 00UYC.J.CVE.D-1000      |
184  | 00UYC.J.CVE.D-1130      |
185  | 00UYC.J.CVE.D-1120      |
186  | 00UYC.J.CVE.D-1060      |
187  | 00UYC.J.CVE.D-1150      |
188  | 00UYC.J.CVE.D-1140      |
189  | 00UYC.J.CVE.D-1010      |
190  | 00UYC.J.CVE.D-1170      |
191  | 00UYC.J.CVE.D-1160      |
192  | 00UYC.J.CVE.D-1020      |
193  | 00UYC.J.CVE.D-1190      |
194  | 00UYC.J.CVE.D-1180      |
195  | 00UYC.J.CVE.D-1030      |
196  | 00UYC.J.CVE.D-1200      |
197  | 00UYC.J.CVE.D-1070      |
198  | 00UYC.J.CVE.D-1040      |
199  | 00UYG.E.B00.D-1000      |
200  | 00UYH.E.B00.D-1000      |
201  | 00UYH.J.CYC.D-1000      |
202  | 00UYH.J.CYS.D-1000      |
203  | 00UYH.J.CYF.D-1000      |
